language,translation
Afrikaans,vuur
Albanian,zjarrit
Amharic,እሳት
Arabic,نار
Armenian,կրակ
Assamese,অগ্নি
Aymara,nina
Azerbaijani,yanğın
Bambara,tasuma
Basque,sua
Belarusian,агонь
Bengali,আগুন
Bhojpuri,आगि
Bulgarian,огън
Catalan,foc
Cebuano,kalayo
Chinese (Traditional),火
Corsican,focu
Croatian,vatra
Czech,oheň
Danish,brand
Dhivehi,އަލިފާން
Dogri,अग्ग
Dutch,vuur
English,fire
Esperanto,fajro
Estonian,tulekahju
Ewe,dzo
Filipino,apoy
Finnish,palo
French,feu
Frisian,fjoer
Galician,lume
Georgian,ცეცხლი
German,Feuer
Greek,φωτιά
Guarani,tata
Gujarati,આગ
Haitian Creole,dife
Hausa,wuta
Hawaiian,ahi ahi
Hebrew,אֵשׁ
Hindi,आग
Hmong,hluav taws
Hungarian,Tűz
Icelandic,eldi
Igbo,ọkụ
Ilocano,apuy
Indonesian,api
Irish,tine
Italian,fuoco
Japanese,火
Javanese,geni
Kannada,ಬೆಂಕಿ
Kazakh,өрт
Khmer,ភ្លើង
Kinyarwanda,umuriro
Konkani,उजो
Korean,불
Krio,faya
Kurdish,ئاگر
Kyrgyz,от
Lao,ໄຟ
Latin,ignis
Latvian,uguns
Lithuanian,gaisras
Luganda,omuliro
Luxembourgish,Feier
Macedonian,оган
Maithili,आगि
Malagasy,AFO
Malayalam,തീ
Maltese,nar
Maori,ahi
Marathi,आग
Meiteilon (Manipuri),ꯃꯩ
Mizo,mei
Mongolian,гал
Myanmar (Burmese),မီး
Nepali,आगो
Norwegian,ild
Odia (Oriya),ଅଗ୍ନି
Oromo,abidda
Pashto,اور
Persian,آتش
Polish,ogień
Portuguese,fogo
Punjabi (Gurmukhi),ਅੱਗ
Quechua,nina
Romanian,foc
Russian,огонь
Samoan,afi
Sanskrit,अग्निः
Scots Gaelic,teine
Serbian,ватра
Sesotho,mollo
Sindhi,باهه
Sinhala,ගිනි
Slovenian,ogenj
Somali,dab
Spanish,fuego
Sundanese,seuneu
Swahili,moto
Tajik,оташ
Tamil,தீ
Tatar,ут
Telugu,అగ్ని
Thai,ไฟ
Tigrinya,ሓዊ
Tsonga,ndzilo
Turkish,ateş
Turkmen,ot
Twi,ogya
Ukrainian,вогонь
Urdu,آگ
Uyghur,ئوت
Uzbek,olov
Vietnamese,ngọn lửa
Welsh,tân
Xhosa,umlilo
Yiddish,פייַער
Yoruba,ina
