language,translation
Afrikaans,aarde
Albanian,dheu
Amharic,ምድር
Arabic,أرض
Armenian,երկիր
Assamese,পৃথিৱী
Aymara,uraqi
Azerbaijani,torpaq
Bambara,dugukolo
Basque,lurra
Belarusian,зямля
Bengali,পৃথিবী
Bhojpuri,धरती
Bulgarian,земя
Catalan,terra
Cebuano,yuta
Chinese (Traditional),地球
Corsican,terra
Croatian,Zemlja
Czech,Země
Danish,jord
Dhivehi,ދުނިޔެ
Dogri,धरत
Dutch,aarde
English,earth
Esperanto,tero
Estonian,maa
Ewe,anyigba
Filipino,lupa
Finnish,maata
French,Terre
Frisian,ierde
Galician,terra
Georgian,დედამიწა
German,Erde
Greek,γη
Guarani,yvy
Gujarati,પૃથ્વી
Haitian Creole,latè
Hausa,ƙasa
Hawaiian,honua
Hebrew,כַּדוּר הָאָרֶץ
Hindi,धरती
Hmong,ntiaj teb
Hungarian,Föld
Icelandic,jörð
Igbo,ụwa
Ilocano,lubong
Indonesian,bumi
Irish,talamh
Italian,terra
Japanese,地球
Javanese,bumi
Kannada,ಭೂಮಿ
Kazakh,жер
Khmer,ផែនដី
Kinyarwanda,isi
Konkani,पृथ्वी
Korean,지구
Krio,dunya
Kurdish,زەوی
Kyrgyz,жер
Lao,ແຜ່ນດິນໂລກ
Latin,terra
Latvian,zeme
Lithuanian,žemė
Luganda,ensi
Luxembourgish,Äerd
Macedonian,земјата
Maithili,धरती
Malagasy,TANY
Malayalam,ഭൂമി
Maltese,art
Maori,whenua
Marathi,पृथ्वी
Meiteilon (Manipuri),ꯄ꯭ꯔꯤꯊꯤꯕꯤ
Mizo,khawvel
Mongolian,дэлхий
Myanmar (Burmese),မြေကြီး
Nepali,पृथ्वी
Norwegian,jord
Odia (Oriya),ପୃଥିବୀ
Oromo,dachee
Pashto,ځمکه
Persian,زمین
Polish,ziemia
Portuguese,terra
Punjabi (Gurmukhi),ਧਰਤੀ
Quechua,tiqsimuyu
Romanian,pământ
Russian,земля
Samoan,lalolagi
Sanskrit,पृथ्वी
Scots Gaelic,talamh
Serbian,земља
Sesotho,lefatshe
Sindhi,زمين
Sinhala,පෘථිවිය
Slovenian,zemlja
Somali,dhulka
Spanish,tierra
Sundanese,bumi
Swahili,ardhi
Tajik,замин
Tamil,பூமி
Tatar,җир
Telugu,భూమి
Thai,โลก
Tigrinya,መሬት
Tsonga,misava
Turkish,toprak
Turkmen,ýer
Twi,asase
Ukrainian,землі
Urdu,زمین
Uyghur,يەر
Uzbek,yer
Vietnamese,trái đất
Welsh,ddaear
Xhosa,umhlaba
Yiddish,ערד
Yoruba,aiye
