language,translation
Afrikaans,lug
Albanian,ajri
Amharic,አየር
Arabic,هواء
Armenian,օդ
Assamese,বতাহ
Aymara,ayri
Azerbaijani,hava
Bambara,fiɲɛ
Basque,airea
Belarusian,паветра
Bengali,বায়ু
Bhojpuri,हवा
Bulgarian,въздух
Catalan,aire
Cebuano,hangin
Chinese (Traditional),空氣
Corsican,aria
Croatian,zrak
Czech,vzduch
Danish,luft
Dhivehi,ވައި
Dogri,ब्हा
Dutch,lucht
English,air
Esperanto,aero
Estonian,õhku
Ewe,ya
Filipino,hangin
Finnish,ilmaa
French,air
Frisian,loft
Galician,aire
Georgian,ჰაერი
German,Luft
Greek,αέρας
Guarani,yvytu
Gujarati,હવા
Haitian Creole,lè
Hausa,iska
Hawaiian,ea
Hebrew,אֲוִיר
Hindi,वायु
Hmong,huab cua
Hungarian,levegő
Icelandic,lofti
Igbo,ikuku
Ilocano,angin
Indonesian,udara
Irish,aer
Italian,aria
Japanese,空気
Javanese,hawa
Kannada,ಗಾಳಿ
Kazakh,ауа
Khmer,ខ្យល់
Kinyarwanda,umwuka
Konkani,हवा
Korean,공기
Krio,briz
Kurdish,هەوا
Kyrgyz,аба
Lao,ອາກາດ
Latin,air
Latvian,gaisu
Lithuanian,oro
Luganda,empewo
Luxembourgish,loft
Macedonian,воздухот
Maithili,हवा
Malagasy,rivotra
Malayalam,വായു
Maltese,arja
Maori,hau
Marathi,हवा
Meiteilon (Manipuri),ꯅꯨꯡꯁꯤꯠ
Mizo,boruak
Mongolian,агаар
Myanmar (Burmese),လေ
Nepali,हावा
Norwegian,luft
Odia (Oriya),ବାୟୁ
Oromo,qilleensa
Pashto,هوا
Persian,هوا
Polish,powietrze
Portuguese,ar
Punjabi (Gurmukhi),ਹਵਾ
Quechua,wayra
Romanian,aer
Russian,воздух
Samoan,ea
Sanskrit,वायु
Scots Gaelic,adhair
Serbian,ваздух
Sesotho,moea
Sindhi,هوا
Sinhala,වාතය
Slovenian,zrak
Somali,hawo
Spanish,aire
Sundanese,hawa
Swahili,hewa
Tajik,ҳаво
Tamil,காற்று
Tatar,һава
Telugu,గాలి
Thai,อากาศ
Tigrinya,ኣየር
Tsonga,moya
Turkish,hava
Turkmen,howa
Twi,mframa
Ukrainian,повітря
Urdu,ہوا
Uyghur,ھاۋا
Uzbek,havo
Vietnamese,không khí
Welsh,awyr
Xhosa,umoya
Yiddish,לופט
Yoruba,afefe
