language,translation
Afrikaans,rots
Albanian,shkëmb
Amharic,ሮክ
Arabic,صخر
Armenian,ռոք
Assamese,শিল
Aymara,ruk
Azerbaijani,qaya
Bambara,farakurun
Basque,harria
Belarusian,рок
Bengali,শিলা
Bhojpuri,चट्टान
Bulgarian,рок
Catalan,roca
Cebuano,bato
Chinese (Traditional),岩石
Corsican,petra
Croatian,stijena
Czech,rock
Danish,klippe
Dhivehi,ހިލަ
Dogri,कुप्पड़
Dutch,steen
English,rock
Esperanto,roko
Estonian,kivi
Ewe,ahliha
Filipino,bato
Finnish,rock
French,rocher
Frisian,rots
Galician,rocha
Georgian,კლდე
German,Felsen
Greek,βράχος
Guarani,itaguasu
Gujarati,ખડક
Haitian Creole,wòch
Hausa,dutse
Hawaiian,pōhaku
Hebrew,רוֹק
Hindi,चट्टान
Hmong,pob zeb
Hungarian,szikla
Icelandic,rokk
Igbo,nkume
Ilocano,bato
Indonesian,batu
Irish,carraig
Italian,roccia
Japanese,ロック
Javanese,watu
Kannada,ಬಂಡೆ
Kazakh,рок
Khmer,ថ្ម
Kinyarwanda,urutare
Konkani,शिळा
Korean,바위
Krio,ston
Kurdish,بەرد
Kyrgyz,рок
Lao,ຫີນ
Latin,saxum
Latvian,klints
Lithuanian,roko
Luganda,olwaazi
Luxembourgish,rock
Macedonian,карпа
Maithili,पाथर
Malagasy,vatolampy
Malayalam,പാറ
Maltese,blat
Maori,toka
Marathi,खडक
Meiteilon (Manipuri),ꯅꯨꯡ
Mizo,lung
Mongolian,чулуу
Myanmar (Burmese),ရော့ခ်
Nepali,चट्टान
Norwegian,stein
Odia (Oriya),ପଥର
Oromo,dhagaa
Pashto,ډبره
Persian,سنگ
Polish,głaz
Portuguese,pedra
Punjabi (Gurmukhi),ਚੱਟਾਨ
Quechua,rumi
Romanian,stâncă
Russian,камень
Samoan,papa
Sanskrit,चट्टानं
Scots Gaelic,creag
Serbian,роцк
Sesotho,lefika
Sindhi,پٿر
Sinhala,පර්වතය
Slovenian,rock
Somali,dhagax
Spanish,roca
Sundanese,batu
Swahili,mwamba
Tajik,санг
Tamil,பாறை
Tatar,кыя
Telugu,శిల
Thai,หิน
Tigrinya,ከውሒ
Tsonga,ribye
Turkish,kaynak
Turkmen,gaýa
Twi,botan
Ukrainian,рок
Urdu,چٹان
Uyghur,تاش
Uzbek,tosh
Vietnamese,đá
Welsh,craig
Xhosa,iliwa
Yiddish,שטיין
Yoruba,apata
